"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","term"
"497","RT @Basheeryusif: Pmb ordered Nigerian Army killed 3sons of sheikh Zakzaky, 1000+unarmed shiite#ZariaMassacre&amp;now hired boko haram to attac…",FALSE,0,NA,2016-09-30 19:54:52,FALSE,NA,"781945429160329217",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kaltume200",6,TRUE,FALSE,NA,NA,"boko haram"
"498","US builds a $100 million African drone base to fight Boko Haram https://t.co/4TpqWQytDH",FALSE,0,NA,2016-09-30 19:54:48,FALSE,NA,"781945412236242944",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","ryan_swadesi",0,FALSE,FALSE,NA,NA,"boko haram"
"499","Reminds me. I was on my way to Abuja and a man asked me why we Muslims don't talk to boko haram people to stop killing. I'm sorry, I laughed",FALSE,2,NA,2016-09-30 19:54:47,FALSE,NA,"781945406737580032",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ms_hanie",9,FALSE,FALSE,NA,NA,"boko haram"
"500","nugesonline blog .....Thanks for visiting !!!: Buhari Invites UN As Negotiator With Boko Haram Ov... https://t.co/cM0oydjn9a",FALSE,0,NA,2016-09-30 19:54:47,FALSE,NA,"781945405223370756",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","iam_sirnuges",0,FALSE,FALSE,NA,NA,"boko haram"
"501","US builds a $100 million African drone base to fight Boko Haram https://t.co/ZMGGhTvfsz",FALSE,0,NA,2016-09-30 19:54:44,FALSE,NA,"781945396247597056",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","RodneyMoase",0,FALSE,FALSE,NA,NA,"boko haram"
"502","US builds a $100 million African drone base to fight Boko Haram https://t.co/H1j5oynn04",FALSE,0,NA,2016-09-30 19:54:35,FALSE,NA,"781945355302756352",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","JMoney8318",0,FALSE,FALSE,NA,NA,"boko haram"
"503","RT @ABC: 75,000 Nigerian children could die over next year in famine-like conditions created by Boko Haram, UN warns. https://t.co/b3EfEAto…",FALSE,0,NA,2016-09-30 19:54:30,FALSE,NA,"781945334733934592",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","dunaisiaka",67,TRUE,FALSE,NA,NA,"boko haram"
"504","TechBite: ""US builds a $100 million African drone base to fight Boko Haram"" https://t.co/NguWJ9KPhC #ITishNews",FALSE,0,NA,2016-09-30 19:54:27,FALSE,NA,"781945324508160000",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","shahfahadz",0,FALSE,FALSE,NA,NA,"boko haram"
"505","RT @ARnews1936: Boko Haram Slaughters Christians, Burns Villages Near Chibok Where 200 Schoolgirls Were Kidnapped https://t.co/tJIkRjeKJ1",FALSE,0,NA,2016-09-30 19:54:25,FALSE,NA,"781945314492223488",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","surferchecker",72,TRUE,FALSE,NA,NA,"boko haram"
"506","US builds a $100 million African drone base to fight Boko Haram https://t.co/ZtO9ApufMH #technews #tuaw #ifttt https://t.co/waP0g2nGLU",FALSE,0,NA,2016-09-30 19:54:24,FALSE,NA,"781945308951506944",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","JoshuaKeckley",0,FALSE,FALSE,NA,NA,"boko haram"
"507","US builds a $100 million African drone base to fight Boko Haram https://t.co/kboOIKsEcT via @engadget",FALSE,0,NA,2016-09-30 19:54:20,FALSE,NA,"781945294770626561",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mogeladze1",0,FALSE,FALSE,NA,NA,"boko haram"
"508","US builds a $100 million African drone base to fight Boko Haram https://t.co/VE1myydxso 
The Department of Defense… https://t.co/PiIVK4sNHx",FALSE,0,NA,2016-09-30 19:54:18,FALSE,NA,"781945287002693633",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","LouzWate",0,FALSE,FALSE,NA,NA,"boko haram"
"509","Boko Haram are killer herdsmen? Soldiers make HUGE discovery (photos) https://t.co/YihDcgiK70 via @naijcom",FALSE,0,NA,2016-09-30 19:54:13,FALSE,NA,"781945262721884162",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GabrielSaturda1",0,FALSE,FALSE,NA,NA,"boko haram"
"510","14 soldiers killed in anti-Boko Haram operations https://t.co/ft0r8pmKFM #Nigeria #News",FALSE,0,NA,2016-09-30 19:54:08,FALSE,NA,"781945245114179584",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","AppNigeriaNews",0,FALSE,FALSE,NA,NA,"boko haram"
"511","RT @IRLA_USA: Savaged by #BokoHaram https://t.co/nfCvStuuD8 #Nigeria",FALSE,0,NA,2016-09-30 19:53:57,FALSE,NA,"781945195390795776",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Christi38166945",30,TRUE,FALSE,NA,NA,"boko haram"
"512","RT @dwnews: .@UN warns of world's worst humanitarian crisis in #BokoHaram region https://t.co/ejYn983Rki https://t.co/n6QixthTIA",FALSE,0,NA,2016-09-30 19:53:56,FALSE,NA,"781945193687900160",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DannyWijnhoud",7,TRUE,FALSE,NA,NA,"boko haram"
"513","RT @engadget: US builds a $100 million African drone base to fight Boko Haram https://t.co/RlAkjiSkZu https://t.co/V3uObPLuUp",FALSE,0,NA,2016-09-30 19:53:56,FALSE,NA,"781945193192972289",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","HughesCom",16,TRUE,FALSE,NA,NA,"boko haram"
"514","RT @engadget: US builds a $100 million African drone base to fight Boko Haram https://t.co/RlAkjiSkZu https://t.co/V3uObPLuUp",FALSE,0,NA,2016-09-30 19:53:48,FALSE,NA,"781945160179392514",NA,"<a href=""https://twitter.com/zippylab"" rel=""nofollow"">Zippylab3</a>","zippylab",16,TRUE,FALSE,NA,NA,"boko haram"
"515","#Technology US builds a $100 million African drone base to fight Boko Haram https://t.co/RbtXaAQZQc",FALSE,0,NA,2016-09-30 19:53:29,FALSE,NA,"781945080219373568",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Literology",0,FALSE,FALSE,NA,NA,"boko haram"
"516","RT @OxfamAmerica: Families 'only able to eat once every few days' in #Nigeria hunger crisis warns Oxfam: https://t.co/ZJvwu0SJz5",FALSE,0,NA,2016-09-30 19:53:29,FALSE,NA,"781945079783096320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Christi38166945",55,TRUE,FALSE,NA,NA,"boko haram"
"517","US builds a $100 million African drone base to fight Boko Haram https://t.co/Tp7wA3iGsD https://t.co/PVWEyYEFsi",FALSE,1,NA,2016-09-30 19:53:26,FALSE,NA,"781945067342860288",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","GeekTech_YT",0,FALSE,FALSE,NA,NA,"boko haram"
"518","RT @FRANCE24: Boko Haram region poised for world’s worst crisis, says UN https://t.co/wk8YZY6FKK https://t.co/2WNkSt4Rqb",FALSE,0,NA,2016-09-30 19:53:24,FALSE,NA,"781945058606145537",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ObiLawobi",51,TRUE,FALSE,NA,NA,"boko haram"
"519","US builds a $100 million African drone base to fight Boko Haram https://t.co/FAHwtEyFGZ",FALSE,0,NA,2016-09-30 19:53:23,FALSE,NA,"781945055896596480",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","TechFeed",0,FALSE,FALSE,NA,NA,"boko haram"
"520","RT @BookTyphoon: @joebennett4321 @handley_dix @Kimbo71006 
 Add ""I refused to recognize Boko Haram as terrorists because my donors did not…",FALSE,0,NA,2016-09-30 19:53:21,FALSE,NA,"781945047554023425",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RobrtGregory",4,TRUE,FALSE,NA,NA,"boko haram"
