"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"191","US builds a $100 million African drone base to fight Boko Haram https://t.co/xbJwvHmYq2",FALSE,0,NA,2016-09-30 20:01:09,FALSE,NA,"781947011108970496",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","baboontech",0,FALSE,FALSE,NA,NA
"192","{FLASH} Nigerian Troops Arrest 3 Boko Haram Herders With 200 Stolen Cows: Troops of the Nigerian Army in joint… https://t.co/DR2KNp14GW",FALSE,0,NA,2016-09-30 20:01:08,FALSE,NA,"781947004326850560",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","BiafrasayForum",1,FALSE,FALSE,NA,NA
"193","RT @engadget: US builds a $100 million African drone base to fight Boko Haram https://t.co/RlAkjiSkZu https://t.co/V3uObPLuUp",FALSE,0,NA,2016-09-30 20:01:03,FALSE,NA,"781946983690952704",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","shailendra_nair",12,TRUE,FALSE,NA,NA
"194","gadget US builds a $100 million African drone base to fight Boko Haram https://t.co/iqI2eErfJH",FALSE,0,NA,2016-09-30 20:00:59,FALSE,NA,"781946966787887104",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PelicanStore",0,FALSE,FALSE,NA,NA
"195","RT @PressTV: UN warns of worst humanitarian crisis by Boko Haram https://t.co/sFLPYIq5cX #Nigeria #Chad https://t.co/lkaAGjSBYA",FALSE,0,NA,2016-09-30 20:00:49,FALSE,NA,"781946926015078403",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nvngorgulu",9,TRUE,FALSE,NA,NA
"196","14 soldiers killed in anti-Boko Haram operations: Niger https://t.co/tfBs2No7y8",FALSE,0,NA,2016-09-30 20:00:43,FALSE,NA,"781946898752102401",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Modernghananews",0,FALSE,FALSE,NA,NA
"197","US builds a $100 million African drone base to fight Boko Haram https://t.co/m4NGNhmprR",FALSE,0,NA,2016-09-30 20:00:10,FALSE,NA,"781946763615670272",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","TechManics",0,FALSE,FALSE,NA,NA
"198","US builds a $100 million African drone base to fight Boko Haram https://t.co/Qe2wr0PDS7",FALSE,0,NA,2016-09-30 20:00:10,FALSE,NA,"781946762932039681",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","rajtilak",0,FALSE,FALSE,NA,NA
"199","US builds a $100 million African drone base to fight Boko Haram https://t.co/LaFeuwlHnU",FALSE,0,NA,2016-09-30 20:00:10,FALSE,NA,"781946761451450368",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","areyouforeal_SA",0,FALSE,FALSE,NA,NA
"200","US builds a $100 million African drone base to fight Boko Haram https://t.co/waC6Kx6qp9 #SGadgetTalk",FALSE,0,NA,2016-09-30 20:00:10,FALSE,NA,"781946759756984320",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","sgadgettalk",0,FALSE,FALSE,NA,NA
"201","RT @KGuilaine: The Nigerian Women taking on Boko Haram.

https://t.co/IiZMHNzhsD",FALSE,0,NA,2016-09-30 20:00:09,FALSE,NA,"781946757336956928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MirEdeC",13,TRUE,FALSE,NA,NA
"202","RT @PressTV: UN warns of worst humanitarian crisis by Boko Haram https://t.co/sFLPYIq5cX #Nigeria #Chad https://t.co/lkaAGjSBYA",FALSE,0,NA,2016-09-30 20:00:04,FALSE,NA,"781946735107121152",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","_Orwell",9,TRUE,FALSE,NA,NA
"203","New post: US builds a $100 million African drone base to fight Boko Haram https://t.co/pSgLiAEeHa",FALSE,0,NA,2016-09-30 20:00:03,FALSE,NA,"781946733718704128",NA,"<a href=""http://www.smellhound.net"" rel=""nofollow"">smellhound</a>","smellhound",0,FALSE,FALSE,NA,NA
"204","US builds a $100 million African drone base to fight Boko Haram  https://t.co/7kh7b5cDze https://t.co/STPvpLI5Lk",FALSE,0,NA,2016-09-30 19:59:59,FALSE,NA,"781946715284860928",NA,"<a href=""http://pixelspeck.info/port24"" rel=""nofollow"">ps360live</a>","pixelspeck",0,FALSE,FALSE,NA,NA
"205","US builds a $100 million African drone base to fight Boko Haram https://t.co/iRMcd1vZCa",FALSE,0,NA,2016-09-30 19:59:45,FALSE,NA,"781946658154221569",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","netskyde",0,FALSE,FALSE,NA,NA
"206","RT @Amaka_Ekwo: Nnamdi Kanu must be a prophet.

Nigeria now like then Somalia says OXFAM.

Pls support #SelfDetermination. #Biafra 

https:…",FALSE,0,NA,2016-09-30 19:59:36,FALSE,NA,"781946620787167232",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TimothErugo",41,TRUE,FALSE,NA,NA
"207","RT @ms_hanie: Reminds me. I was on my way to Abuja and a man asked me why we Muslims don't talk to boko haram people to stop killing. I'm s…",FALSE,0,NA,2016-09-30 19:59:35,FALSE,NA,"781946612977369089",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","abeeb_babs",5,TRUE,FALSE,NA,NA
